plant_area,totalTree_pa,genus_name,n,mean(diameter),min(diameter),max(diameter),median(height_range_id),min(height_range_id),max(height_range_id)
10,20467,PRUNUS,5578,14.610640014342058,0,141,2,0,7
10,20467,ACER,5020,14.05987250996016,0,55,3,0,9
10,20467,FRAXINUS,1124,10.554492882562277,0,43,3,0,7
10,20467,QUERCUS,862,17.415058004640372,1.75,50,4,0,9
10,20467,TILIA,772,14.568173575129533,3,42,4,1,8
10,20467,MALUS,703,6.520568990042674,0,21.5,2,1,4
10,20467,ULMUS,615,24.99951219512195,3,48,6,1,10
10,20467,MAGNOLIA,554,9.170758122743683,1,36,2,1,5
10,20467,AESCULUS,476,24.006827731092436,3,64,5,1,8
10,20467,CRATAEGUS,453,6.4263796909492275,0,29,2,0,5
10,20467,FAGUS,452,9.376659292035399,2,54.5,2,0,8
10,20467,CARPINUS,445,11.552247191011237,2,39,2,0,7
10,20467,PLATANUS,361,26.196648199445985,2,52,6,1,9
10,20467,BETULA,343,20.71253644314869,3,44,5,0,7
10,20467,CERCIDIPHYLLUM,323,7.184210526315789,0,24,2,0,5
10,20467,CORNUS,270,8.077962962962962,2,36,2,1,6
10,20467,CATALPA,252,27.35595238095238,3,50.25,5,2,7
10,20467,LIQUIDAMBAR,206,10.135922330097088,0,27.5,3,1,5
10,20467,GLEDITSIA,188,6.9742021276595745,1.75,30,2,0,6
10,20467,LIRIODENDRON,177,23.554237288135592,3,45,5,1,8
10,20467,SORBUS,147,7.704761904761905,2,31.5,2,0,6
10,20467,PYRUS,146,4.200342465753424,2,11,2,0,3
10,20467,PARROTIA,127,3.793307086614173,2.5,20.5,1,1,4
10,20467,STYRAX,103,3.900485436893204,0,9,1,0,3
10,20467,SYRINGA,66,3.265151515151515,2,6,1,0,5
10,20467,METASEQUOIA,65,12.812307692307693,2,40,3,1,5
10,20467,ROBINIA,61,15.677049180327868,3,40,4,1,7
10,20467,NYSSA,56,3.71875,2.5,9,1,1,3
10,20467,ZELKOVA,56,7.151785714285714,3,15,2,1,4
10,20467,THUJA,54,22.203703703703702,2,48,4,1,9
10,20467,PSEUDOTSUGA,52,22.423076923076923,6,43,5,2,9
10,20467,CERCIS,32,3.7578125,2,10,1,1,2
10,20467,CELTIS,29,4.189655172413793,2,16.25,1,1,4
10,20467,PICEA,25,15.46,3,35,4,1,8
10,20467,LABURNUM,24,12.177083333333334,3,19,2.5,1,4
10,20467,ILEX,23,11.347826086956522,3,24,2,1,3
10,20467,STEWARTIA,22,3.2045454545454546,3,4.5,1,1,4
10,20467,PINUS,21,12.80952380952381,3,27,3,1,8
10,20467,AMELANCHIER,18,3,3,3,1,1,2
10,20467,CHAMAECYPARIS,18,19.97222222222222,3,50,4,2,7
10,20467,JUGLANS,17,12.794117647058824,6,22,3,1,5
10,20467,CASTANEA,14,31.982142857142858,10.75,99,5,1,8
10,20467,CEDRUS,11,21.045454545454547,3,49,4,1,9
10,20467,HIBISCUS,11,3.3181818181818183,3,5,1,1,2
10,20467,ABIES,10,15,3,42.5,4,1,6
10,20467,DAVIDIA,10,5.525,3,11,1.5,1,2
10,20467,TSUGA,8,24,11,33.5,6,3,9
10,20467,CORYLUS,7,12.571428571428571,3,24,2,1,3
10,20467,GINKGO,6,4.25,3,8.5,1,1,3
10,20467,GYMNOCLADUS,6,3,2.75,3.25,1,1,1
10,20467,NOTHOFAGUS,6,6.966666666666667,3,10,1,1,3
10,20467,POPULUS,6,19.5,3,26,5,1,6
10,20467,SALIX,5,24.1,18,35,4,4,4
10,20467,KOELREUTERIA,3,7.083333333333333,3,11.25,1,1,2
10,20467,PHELLODENDON,3,21.5,19,24,4,4,4
10,20467,RHUS,3,8.833333333333334,2.5,12,2,2,3
10,20467,ALNUS,2,14,14,14,3,3,3
10,20467,MANGLIETIA,2,3.5,3,4,1.5,1,2
10,20467,OXYDENDRUM,2,3,1.75,4.25,1.5,1,2
10,20467,PTELEA,2,21.75,21,22.5,5,5,5
10,20467,PTEROCARYA,2,10.5,7,14,2.5,2,3
10,20467,ARBUTUS,1,7,7,7,1,1,1
10,20467,CHITALPA,1,4,4,4,2,2,2
10,20467,CLADRASTIS,1,3,3,3,1,1,1
10,20467,CRYPTOMERIA,1,3,3,3,1,1,1
10,20467,EUONYMUS,1,3,3,3,1,1,1
10,20467,LARIX,1,10,10,10,4,4,4
10,20467,OSTRYIA,1,8.75,8.75,8.75,4,4,4
10,20467,PTEROSTYRAX,1,4,4,4,2,2,2
10,20467,RHAMNUS,1,4,4,4,2,2,2
10,20467,SEQUOIADENDRON,1,6,6,6,1,1,1
10,20467,SOPHORA,1,3,3,3,1,1,1
10,20467,TAXUS,1,7,7,7,1,1,1
8,15742,PRUNUS,4517,14.297248173566526,0,55,2,0,9
8,15742,ACER,3432,11.32018648018648,1,66,2,1,9
8,15742,FRAXINUS,1094,10.244195612431444,2,40,2,0,7
8,15742,TILIA,700,15.106857142857143,3,40,4,1,7
8,15742,QUERCUS,593,16.960286677908936,2,54,4,0,10
8,15742,CRATAEGUS,571,5.92399299474606,0,24,2,0,6
8,15742,MALUS,515,5.969805825242719,0,18.5,2,0,4
